Repository,Owner,Stars,URL
fastapi,fastapi,100070,https://github.com/fastapi/fastapi
headroom,headroomlabs-ai,57041,https://github.com/headroomlabs-ai/headroom
Hello-Python,mouredev,36284,https://github.com/mouredev/Hello-Python
serve,jina-ai,21861,https://github.com/jina-ai/serve
HivisionIDPhotos,Zeyi-Lin,21227,https://github.com/Zeyi-Lin/HivisionIDPhotos
Douyin_TikTok_Download_API,Evil0ctal,18668,https://github.com/Evil0ctal/Douyin_TikTok_Download_API
sqlmodel,fastapi,18166,https://github.com/fastapi/sqlmodel
SurfSense,MODSetter,15195,https://github.com/MODSetter/SurfSense
peewee,coleifer,11980,https://github.com/coleifer/peewee
fastapi_mcp,tadata-org,11938,https://github.com/tadata-org/fastapi_mcp
XHS-Downloader,JoeanAmier,11842,https://github.com/JoeanAmier/XHS-Downloader
polar,polarsource,10041,https://github.com/polarsource/polar
pycaret,pycaret,9821,https://github.com/pycaret/pycaret
FastUI,pydantic,8971,https://github.com/pydantic/FastUI
FileCodeBox,vastsa,8394,https://github.com/vastsa/FileCodeBox
nonebot2,nonebot,7600,https://github.com/nonebot/nonebot2
fastapi-users,fastapi-users,6183,https://github.com/fastapi-users/fastapi-users
Yuxi,xerrors,5979,https://github.com/xerrors/Yuxi
honcho,plastic-labs,5804,https://github.com/plastic-labs/honcho
xianyu-auto-reply,zhinianboke,5537,https://github.com/zhinianboke/xianyu-auto-reply
grok2api,chenyme,5334,https://github.com/chenyme/grok2api
Kokoro-FastAPI,remsky,5102,https://github.com/remsky/Kokoro-FastAPI
devpush,hunvreus,4717,https://github.com/hunvreus/devpush
strawberry,strawberry-graphql,4686,https://github.com/strawberry-graphql/strawberry
agent-service-toolkit,JoshuaC215,4366,https://github.com/JoshuaC215/agent-service-toolkit
logfire,pydantic,4351,https://github.com/pydantic/logfire
dynaconf,dynaconf,4313,https://github.com/dynaconf/dynaconf
mcp-context-forge,IBM,4037,https://github.com/IBM/mcp-context-forge
datamodel-code-generator,koxudaxi,3962,https://github.com/koxudaxi/datamodel-code-generator
LitServe,Lightning-AI,3907,https://github.com/Lightning-AI/LitServe
fastapi-admin,fastapi-admin,3802,https://github.com/fastapi-admin/fastapi-admin
Streamer-Sales,PeterH0323,3721,https://github.com/PeterH0323/Streamer-Sales
tracecat,TracecatHQ,3715,https://github.com/TracecatHQ/tracecat
Rapid-MLX,raullenchai,3199,https://github.com/raullenchai/Rapid-MLX
opyrator,ml-tooling,3134,https://github.com/ml-tooling/opyrator
docarray,docarray,3123,https://github.com/docarray/docarray
fastapi-realworld-example-app,nsidnev,3107,https://github.com/nsidnev/fastapi-realworld-example-app
