Repository,Owner,Stars,URL
django,django,87511,https://github.com/django/django
sentry,getsentry,43947,https://github.com/getsentry/sentry
paperless-ngx,paperless-ngx,40908,https://github.com/paperless-ngx/paperless-ngx
jumpserver,jumpserver,30480,https://github.com/jumpserver/jumpserver
django-rest-framework,encode,30025,https://github.com/encode/django-rest-framework
netbox,netbox-community,20566,https://github.com/netbox-community/netbox
wagtail,wagtail,20333,https://github.com/wagtail/wagtail
docs,suitenumerique,16528,https://github.com/suitenumerique/docs
awx,ansible,15428,https://github.com/ansible/awx
cookiecutter-django,cookiecutter,13524,https://github.com/cookiecutter/cookiecutter-django
Zappa,Miserlou,11841,https://github.com/Miserlou/Zappa
awesome-django,wsvincent,11109,https://github.com/wsvincent/awesome-django
django-cms,django-cms,10636,https://github.com/django-cms/django-cms
django-allauth,pennersr,10331,https://github.com/pennersr/django-allauth
healthchecks,healthchecks,10057,https://github.com/healthchecks/healthchecks
django-ninja,vitalik,9064,https://github.com/vitalik/django-ninja
django-debug-toolbar,django-commons,8361,https://github.com/django-commons/django-debug-toolbar
librephotos,LibrePhotos,7988,https://github.com/LibrePhotos/librephotos
pyinstrument,joerick,7719,https://github.com/joerick/pyinstrument
DjangoBlog,liangliangyy,7380,https://github.com/liangliangyy/DjangoBlog
InvenTree,inventree,7008,https://github.com/inventree/InvenTree
django-extensions,django-extensions,6806,https://github.com/django-extensions/django-extensions
django-oscar,django-oscar,6600,https://github.com/django-oscar/django-oscar
OnlineJudge,QingdaoU,6531,https://github.com/QingdaoU/OnlineJudge
channels,django,6352,https://github.com/django/channels
Django-Styleguide,HackSoftware,6176,https://github.com/HackSoftware/Django-Styleguide
wger,wger-project,6128,https://github.com/wger-project/wger
weblate,WeblateOrg,5884,https://github.com/WeblateOrg/weblate
django-cors-headers,adamchainz,5588,https://github.com/adamchainz/django-cors-headers
paperless-ng,jonaswinkler,5421,https://github.com/jonaswinkler/paperless-ng
authlib,authlib,5318,https://github.com/authlib/authlib
django-crispy-forms,django-crispy-forms,5160,https://github.com/django-crispy-forms/django-crispy-forms
django-silk,jazzband,4969,https://github.com/jazzband/django-silk
mezzanine,stephenmcd,4830,https://github.com/stephenmcd/mezzanine
xadmin,sshwsfc,4759,https://github.com/sshwsfc/xadmin
django-filter,carltongibson,4682,https://github.com/carltongibson/django-filter
strawberry,strawberry-graphql,4657,https://github.com/strawberry-graphql/strawberry
devpush,hunvreus,4655,https://github.com/hunvreus/devpush
graphene-django,graphql-python,4385,https://github.com/graphql-python/graphene-django
djangorestframework-simplejwt,jazzband,4319,https://github.com/jazzband/djangorestframework-simplejwt
tacticalrmm,amidaware,4313,https://github.com/amidaware/tacticalrmm
dynaconf,dynaconf,4300,https://github.com/dynaconf/dynaconf
django-tastypie,django-tastypie,3952,https://github.com/django-tastypie/django-tastypie
django-guardian,django-guardian,3901,https://github.com/django-guardian/django-guardian
simpleui,newpanjing,3795,https://github.com/newpanjing/simpleui
factory_boy,FactoryBoy,3795,https://github.com/FactoryBoy/factory_boy
fastapi-admin,fastapi-admin,3776,https://github.com/fastapi-admin/fastapi-admin
django-haystack,django-haystack,3738,https://github.com/django-haystack/django-haystack
Zappa,zappa,3686,https://github.com/zappa/Zappa
django-jet,geex-arts,3627,https://github.com/geex-arts/django-jet
drf-yasg,axnsan12,3545,https://github.com/axnsan12/drf-yasg
Gerapy,Gerapy,3501,https://github.com/Gerapy/Gerapy
modoboa,modoboa,3491,https://github.com/modoboa/modoboa
django-unfold,unfoldadmin,3481,https://github.com/unfoldadmin/django-unfold
Cactus,eudicots,3471,https://github.com/eudicots/Cactus
django-taggit,jazzband,3433,https://github.com/jazzband/django-taggit
adminset,guohongze,3410,https://github.com/guohongze/adminset
pinry,pinry,3370,https://github.com/pinry/pinry
django-oauth-toolkit,django-oauth,3326,https://github.com/django-oauth/django-oauth-toolkit
django-import-export,django-import-export,3323,https://github.com/django-import-export/django-import-export
django-shop,awesto,3319,https://github.com/awesto/django-shop
django-rest-framework-jwt,jpadilla,3172,https://github.com/jpadilla/django-rest-framework-jwt
django-environ,joke2k,3160,https://github.com/joke2k/django-environ
django-reversion,etianen,3159,https://github.com/etianen/django-reversion
shynet,milesmcc,3134,https://github.com/milesmcc/shynet
django-sspanel,Ehco1996,3089,https://github.com/Ehco1996/django-sspanel
