Repository,Owner,Stars,Forks,URL
django,django,88026,34019,https://github.com/django/django
sentry,getsentry,44238,4737,https://github.com/getsentry/sentry
paperless-ngx,paperless-ngx,42781,2857,https://github.com/paperless-ngx/paperless-ngx
jumpserver,jumpserver,31052,5714,https://github.com/jumpserver/jumpserver
django-rest-framework,encode,30098,7074,https://github.com/encode/django-rest-framework
netbox,netbox-community,21031,3065,https://github.com/netbox-community/netbox
wagtail,wagtail,20386,4555,https://github.com/wagtail/wagtail
docs,suitenumerique,16641,599,https://github.com/suitenumerique/docs
awx,ansible,15477,3657,https://github.com/ansible/awx
cookiecutter-django,cookiecutter,13565,3064,https://github.com/cookiecutter/cookiecutter-django
Zappa,Miserlou,11836,1170,https://github.com/Miserlou/Zappa
awesome-django,wsvincent,11155,1464,https://github.com/wsvincent/awesome-django
django-cms,django-cms,10652,3201,https://github.com/django-cms/django-cms
django-allauth,pennersr,10347,3111,https://github.com/pennersr/django-allauth
healthchecks,healthchecks,10140,987,https://github.com/healthchecks/healthchecks
django-ninja,vitalik,9117,597,https://github.com/vitalik/django-ninja
django-debug-toolbar,django-commons,8375,1090,https://github.com/django-commons/django-debug-toolbar
librephotos,LibrePhotos,8001,380,https://github.com/LibrePhotos/librephotos
pyinstrument,joerick,7952,289,https://github.com/joerick/pyinstrument
DjangoBlog,liangliangyy,7403,2857,https://github.com/liangliangyy/DjangoBlog
InvenTree,inventree,7223,1442,https://github.com/inventree/InvenTree
django-extensions,django-extensions,6808,1173,https://github.com/django-extensions/django-extensions
django-oscar,django-oscar,6614,2305,https://github.com/django-oscar/django-oscar
OnlineJudge,QingdaoU,6536,1539,https://github.com/QingdaoU/OnlineJudge
wger,wger-project,6352,932,https://github.com/wger-project/wger
channels,django,6351,828,https://github.com/django/channels
Django-Styleguide,HackSoftware,6223,620,https://github.com/HackSoftware/Django-Styleguide
huey,coleifer,5985,396,https://github.com/coleifer/huey
weblate,WeblateOrg,5972,1299,https://github.com/WeblateOrg/weblate
django-cors-headers,adamchainz,5587,552,https://github.com/adamchainz/django-cors-headers
paperless-ng,jonaswinkler,5419,346,https://github.com/jonaswinkler/paperless-ng
authlib,authlib,5365,549,https://github.com/authlib/authlib
django-crispy-forms,django-crispy-forms,5163,730,https://github.com/django-crispy-forms/django-crispy-forms
django-silk,jazzband,4978,368,https://github.com/jazzband/django-silk
mezzanine,stephenmcd,4822,1605,https://github.com/stephenmcd/mezzanine
xadmin,sshwsfc,4754,1386,https://github.com/sshwsfc/xadmin
devpush,hunvreus,4717,179,https://github.com/hunvreus/devpush
strawberry,strawberry-graphql,4686,646,https://github.com/strawberry-graphql/strawberry
django-filter,carltongibson,4685,775,https://github.com/carltongibson/django-filter
graphene-django,graphql-python,4391,764,https://github.com/graphql-python/graphene-django
tacticalrmm,amidaware,4366,635,https://github.com/amidaware/tacticalrmm
djangorestframework-simplejwt,jazzband,4326,705,https://github.com/jazzband/djangorestframework-simplejwt
dynaconf,dynaconf,4313,330,https://github.com/dynaconf/dynaconf
django-tastypie,django-tastypie,3947,1156,https://github.com/django-tastypie/django-tastypie
django-guardian,django-guardian,3906,589,https://github.com/django-guardian/django-guardian
fastapi-admin,fastapi-admin,3802,463,https://github.com/fastapi-admin/fastapi-admin
simpleui,newpanjing,3802,710,https://github.com/newpanjing/simpleui
factory_boy,FactoryBoy,3800,418,https://github.com/FactoryBoy/factory_boy
django-haystack,django-haystack,3743,1311,https://github.com/django-haystack/django-haystack
Zappa,zappa,3693,389,https://github.com/zappa/Zappa
