Repository,Owner,Stars,URL
fastapi,fastapi,100072,https://github.com/fastapi/fastapi
headroom,headroomlabs-ai,57052,https://github.com/headroomlabs-ai/headroom
Hello-Python,mouredev,36284,https://github.com/mouredev/Hello-Python
serve,jina-ai,21861,https://github.com/jina-ai/serve
HivisionIDPhotos,Zeyi-Lin,21227,https://github.com/Zeyi-Lin/HivisionIDPhotos
Douyin_TikTok_Download_API,Evil0ctal,18670,https://github.com/Evil0ctal/Douyin_TikTok_Download_API
sqlmodel,fastapi,18166,https://github.com/fastapi/sqlmodel
SurfSense,MODSetter,15195,https://github.com/MODSetter/SurfSense
peewee,coleifer,11980,https://github.com/coleifer/peewee
fastapi_mcp,tadata-org,11938,https://github.com/tadata-org/fastapi_mcp
