Repository,Owner,Stars,Forks,URL
fastapi,fastapi,100077,9549,https://github.com/fastapi/fastapi
headroom,headroomlabs-ai,57110,4201,https://github.com/headroomlabs-ai/headroom
Hello-Python,mouredev,36289,2315,https://github.com/mouredev/Hello-Python
serve,jina-ai,21860,2242,https://github.com/jina-ai/serve
HivisionIDPhotos,Zeyi-Lin,21228,2439,https://github.com/Zeyi-Lin/HivisionIDPhotos
Douyin_TikTok_Download_API,Evil0ctal,18671,2671,https://github.com/Evil0ctal/Douyin_TikTok_Download_API
sqlmodel,fastapi,18166,871,https://github.com/fastapi/sqlmodel
SurfSense,MODSetter,15195,1458,https://github.com/MODSetter/SurfSense
peewee,coleifer,11979,1383,https://github.com/coleifer/peewee
fastapi_mcp,tadata-org,11938,952,https://github.com/tadata-org/fastapi_mcp
XHS-Downloader,JoeanAmier,11845,1763,https://github.com/JoeanAmier/XHS-Downloader
polar,polarsource,10042,738,https://github.com/polarsource/polar
pycaret,pycaret,9821,1854,https://github.com/pycaret/pycaret
FastUI,pydantic,8971,341,https://github.com/pydantic/FastUI
FileCodeBox,vastsa,8394,1047,https://github.com/vastsa/FileCodeBox
nonebot2,nonebot,7602,663,https://github.com/nonebot/nonebot2
fastapi-users,fastapi-users,6183,508,https://github.com/fastapi-users/fastapi-users
Yuxi,xerrors,5980,863,https://github.com/xerrors/Yuxi
honcho,plastic-labs,5806,694,https://github.com/plastic-labs/honcho
xianyu-auto-reply,zhinianboke,5539,1511,https://github.com/zhinianboke/xianyu-auto-reply
grok2api,chenyme,5336,1848,https://github.com/chenyme/grok2api
Kokoro-FastAPI,remsky,5105,845,https://github.com/remsky/Kokoro-FastAPI
devpush,hunvreus,4717,179,https://github.com/hunvreus/devpush
strawberry,strawberry-graphql,4686,646,https://github.com/strawberry-graphql/strawberry
agent-service-toolkit,JoshuaC215,4367,728,https://github.com/JoshuaC215/agent-service-toolkit
logfire,pydantic,4351,253,https://github.com/pydantic/logfire
dynaconf,dynaconf,4313,330,https://github.com/dynaconf/dynaconf
mcp-context-forge,IBM,4040,740,https://github.com/IBM/mcp-context-forge
datamodel-code-generator,koxudaxi,3962,449,https://github.com/koxudaxi/datamodel-code-generator
LitServe,Lightning-AI,3907,292,https://github.com/Lightning-AI/LitServe
fastapi-admin,fastapi-admin,3802,462,https://github.com/fastapi-admin/fastapi-admin
Streamer-Sales,PeterH0323,3721,565,https://github.com/PeterH0323/Streamer-Sales
tracecat,TracecatHQ,3718,383,https://github.com/TracecatHQ/tracecat
Rapid-MLX,raullenchai,3202,375,https://github.com/raullenchai/Rapid-MLX
opyrator,ml-tooling,3134,167,https://github.com/ml-tooling/opyrator
docarray,docarray,3123,244,https://github.com/docarray/docarray
fastapi-realworld-example-app,nsidnev,3107,724,https://github.com/nsidnev/fastapi-realworld-example-app
uvicorn-gunicorn-fastapi-docker,tiangolo,2913,340,https://github.com/tiangolo/uvicorn-gunicorn-fastapi-docker
any-auto-register,lxf746,2874,972,https://github.com/lxf746/any-auto-register
FastAPI-template,s3rius,2809,239,https://github.com/s3rius/FastAPI-template
sqladmin,smithyhq,2759,286,https://github.com/smithyhq/sqladmin
fastapi-react,Buuntu,2589,370,https://github.com/Buuntu/fastapi-react
supabase-py,supabase,2533,504,https://github.com/supabase/supabase-py
fastapi-langgraph-agent-production-ready-template,wassim249,2480,581,https://github.com/wassim249/fastapi-langgraph-agent-production-ready-template
RasaGPT,paulpierre,2463,250,https://github.com/paulpierre/RasaGPT
AIstudioProxyAPI,CJackHwang,2450,411,https://github.com/CJackHwang/AIstudioProxyAPI
nextpy,dot-agent,2342,181,https://github.com/dot-agent/nextpy
fastapi-best-architecture,fastapi-practices,2327,352,https://github.com/fastapi-practices/fastapi-best-architecture
fastapi-utils,fastapiutils,2308,191,https://github.com/fastapiutils/fastapi-utils
solara,widgetti,2166,190,https://github.com/widgetti/solara
codex-lb,Soju06,2165,326,https://github.com/Soju06/codex-lb
mangum,Kludex,2127,133,https://github.com/Kludex/mangum
kiro-gateway,jwadow,2085,494,https://github.com/jwadow/kiro-gateway
open-wearables,the-momentum,2071,380,https://github.com/the-momentum/open-wearables
slowapi,laurentS,2026,122,https://github.com/laurentS/slowapi
xhs_ai_publisher,BetaStreetOmnis,2012,296,https://github.com/BetaStreetOmnis/xhs_ai_publisher
